Company Name,Company Domain Name,Website,Industry,Phone,Street Address,City,State/Region,Postal Code,Country/Region,Number of Employees,Annual Revenue,Lifecycle Stage,Lead Status,Company Owner,Business Model
NovaSpark Software,novaspark.com,https://novaspark.com,Computer Software,+14155550110,100 Market Street,San Francisco,California,94105,United States,52,4200000,Opportunity,Open,Alex Morgan,B2B SaaS
BluePeak Analytics,bluepeak.com,https://bluepeak.com,Data Analytics,+13125550122,220 West Madison Street,Chicaliforniago,Illinois,60606,United States,38,3100000,Marketing Qualified Lead,New,Jordan Lee,B2B Services
CloudNest Systems,cloudnest.com,https://cloudnest.com,Cloud Services,+16465550133,45 East 20th Street,New York,New York,10003,United States,80,7800000,Sales Qualified Lead,In Progress,Taylor Brooks,B2B SaaS
GreenGrid Energy,greengrid.com,https://greengrid.com,Renewable Energy,+15125550144,700 Congress Avenue,Austin,Texas,78701,United States,120,15000000,Customer,Connected,Alex Morgan,B2B
BrightPath Learning,brightpath.com,https://brightpath.com,Educaliforniation Technology,+12065550155,500 Pine Street,Seattle,Washington,98101,United States,44,2600000,Lead,Attempted to Contact,Jordan Lee,B2B SaaS
UrbanCrate Logistics,urbancrate.com,https://urbancrate.com,Logistics,+12135550166,800 South Hope Street,Los Angeles,California,90017,United States,95,9200000,Opportunity,Open,Taylor Brooks,B2B Services
NorthStar Health,northstarhealth.com,https://northstarhealth.com,Healthcaliforniare,+16175550177,60 State Street,Boston,Massachusetts,2109,United States,210,23000000,Sales Qualified Lead,In Progress,Alex Morgan,B2B
SilverLine Finance,silverline.com,https://silverline.com,Financial Services,+14165550188,181 Bay Street,Toronto,Ontario,M5J 2T3,Californianada,65,8600000,Marketing Qualified Lead,New,Jordan Lee,B2B Services
HarborPoint Retail,harborpoint.com,https://harborpoint.com,Retail,+1442071838750,25 King Street,London,England,SW1Y 6QY,United Kingdom,150,18000000,Lead,New,Taylor Brooks,B2C
PeakForge Manufacturing,peakforge.com,https://peakforge.com,Manufacturing,+1493055501990,10 Alexanderplatz,Berlin,Berlin,10178,Germany,340,41000000,Customer,Connected,Alex Morgan,B2B
